Estructura,Tècnica de construcció,Nomenclatura del castell,Nomenclatura alternativa del castell,Alteració,Índex Joc,Coord X,Coord Y,Índex Gran TpC,Coord X,Coord Y,Índex TpC,Coord,,Pisos d’alçada,Denominació del castell,Denominació alternativa del castell,Sobrenom del castel,Sobrenom alternatiu del castell,Puntuació Concurs / castell carregat,Puntuació Concurs / castell descarregat,Estat,Núm de castellers òptim,Alçada aproximada del castell (metres),Pes estimat del castell (kg),Pes estimat del tronc del castell sobre el peu (kg),Temps total d’execució de castell carregat*,Temps total d’execució de castell descarregat*,Gamma del castell,Gamma del castell detallada,Gamma del castell,Gamma del castell detallada,Gamma del castell,Gamma del castell detallada,carregat,descarregat,carregat,descarregat,carregat,descarregat,carregat,descarregat,Enllaç Viquipèdia en català,descarregat,carregat,TOTAL Núm de colles que l’han dut a terme/intentat,Núm de castells descarregats,Núm de castells carregats,Núm d’intents,Núm d’intents desmuntats,Núm de castells assolits,Núm de castells no assolits,Núm de castells caiguts,TOTAL castells,número de baixos òptim,número d’agulles òptim,número de crosses òptim,número de contraforts òptim,número de daus/vents/mà i mà òptim,número de laterals/girats òptim,número de primeres mans òptim,número de taps òptim,Núm òptim  total castellers pinya,número de baixos òptim,número de segons òptim,número de terços òptim,número de quarts òptim,número de cinquens òptim,número de sisens òptim,número de setens òptim,número de vuitens òptim,número de novens òptim,número de desens òptim,número d’onzens òptim,número de dotzens òptim,Núm òptim  total castellers tronc,número de dosos òptim,número d’acotxadors òptim,número d’enxanetes òptim,Núm òptim  total castellers pom,,,Entrada de baixos,Entrada de segons,Entrada de terços,Entrada de quarts,Entrada de quints/cinquens,Entrada de sisens,Entrada de vuitens,Entrada de novens,Entrada de desens,Entrada d’onzens,Entrada de dotzens,Entrada de dosos,Entrada d’acotxador/aixecador/cassoleta,Entrada d’enxaneta,Entrada baix del pilar/agulla,Entrada segon del pilar/agulla,Entrada terç del pilar/agulla,Entrada quart del pilar/agulla,Entrada quint del pilar/agulla,Entrada sisè del pilar/agulla,Entrada setè del pilar/agulla,Entrada vuitè del pilar/agulla,Entrada novè del pilar/agulla,Entrada desè del pilar/agulla,Entrada onzè del pilar/agulla,Entrada dotzè del pilar/agulla,Entrada enxaneta del pilar/agulla,Primera aleta,Segona aleta,Tercera aleta,Quarta aleta,Temps total d’execució de castell carregat,Sortida d’enxaneta,Sortida d’acotxador/aixecador/cassoleta,Sortida de dosos,Sortida de dotzens,Sortida d’onzens,Sortida de desens,Sortida de novens,Sortida de vuitens,Sortida de setens,Sortida de sisens,Sortida de quints/cinquens,Sortida de quarts,Sortida de terços,Sortida de segons,Sortida de baixos,Sortida enxaneta del pilar/agulla,Sortida dotzè del pilar/agulla,Sortida onzè del pilar/agulla,Sortida desè del pilar/agulla,Sortida novè del pilar/agulla,Sortida vuitè del pilar/agulla,Sortida setè del pilar/agulla,Sortida sisè del pilar/agulla,Sortida quint del pilar/agulla,Sortida quart del pilar/agulla,Sortida terç del pilar/agulla,Sortida segon del pilar/agulla,Sortida baix del pilar/agulla,Temps total d’execució de castell descarregat
el cinc,amb l'agulla,5d12fmpala,,♭,444,,,,,,,,,12,"cinc de dotze amb folre, manilles, puntals, ajuts i llargs amb l'agulla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU445+AV445,=AW445+AX445,=AV445+AW445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el cinc,amb l'agulla,5d12fmpaa,,,445,,,,,,,,,12,"cinc de dotze amb folre, manilles, puntals i ajuts amb l'agulla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU446+AV446,=AW446+AX446,=AV446+AW446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el cinc,amb l'agulla,5d12fmpa,,♯,446,,,,,,,,,12,"cinc de dotze amb folre, manilles i puntals amb l'agulla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU447+AV447,=AW447+AX447,=AV447+AW447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el cinc,amb l'agulla,5d12fma,,♯♯,447,,,,,,,,,12,cinc de dotze amb folre i manilles amb l'agulla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU448+AV448,=AW448+AX448,=AV448+AW448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el cinc,amb l'agulla,5d12fa,,♯♯♯,448,,,,,,,,,12,cinc de dotze amb folre amb l'agulla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU449+AV449,=AW449+AX449,=AV449+AW449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el cinc,amb l'agulla,5d13fmpalsba,,"♭♭
♭",449,,,,,,,,,13,"cinc de tretze amb folre, manilles, puntals, ajuts, llargs, salts i bigues amb l'agulla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU450+AV450,=AW450+AX450,=AV450+AW450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el cinc,amb l'agulla,5d13fmpalsa,,♭,450,,,,,,,,,13,"cinc de tretze amb folre, manilles, puntals, ajuts, llargs i salts amb l'agulla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU451+AV451,=AW451+AX451,=AV451+AW451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el cinc,amb l'agulla,5d13fmpala,,,451,,,,,,,,,13,"cinc de tretze amb folre, manilles, puntals, ajuts i llargs amb l'agulla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU452+AV452,=AW452+AX452,=AV452+AW452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el cinc,amb l'agulla,5d13fmpaa,,♯,452,,,,,,,,,13,"cinc de tretze amb folre, manilles, puntals i ajuts amb l'agulla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU453+AV453,=AW453+AX453,=AV453+AW453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el cinc,amb l'agulla,5d13fmpa,,♯♯,453,,,,,,,,,13,"cinc de tretze amb folre, manilles i puntals amb l'agulla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU454+AV454,=AW454+AX454,=AV454+AW454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el cinc,amb l'agulla,5d13fma,,♯♯♯,454,,,,,,,,,13,cinc de tretze amb folre i manilles amb l'agulla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU455+AV455,=AW455+AX455,=AV455+AW455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d5,,,455,,,112,,,,,,5,sis de cinc,,,,sense puntuació,sense puntuació,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU456+AV456,=AW456+AX456,=AV456+AW456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d5n,,♯,456,,,113,,,,,,5,sis de cinc net,,,,sense puntuació,sense puntuació,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU457+AV457,=AW457+AX457,=AV457+AW457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d6,,,457,,,114,,,51,C13F3,,6,sis de sis,,,,sense puntuació,sense puntuació,assolit,106,"5,55",6890,920,"0m 53,050s ","1m 42,056s ",gamma de sis,gamma alta de sis,,,,,,,,,,,,,https://ca.wikipedia.org/wiki/6_de_6,,,,9,0,0,2,=AU458+AV458,=AW458+AX458,=AV458+AW458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d6n,,♯,458,,,115,,,,,,6,sis de sis net,,,,sense puntuació,sense puntuació,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU459+AV459,=AW459+AX459,=AV459+AW459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d7f,,♭,459,,,,,,,,,7,sis de set amb folre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU460+AV460,=AW460+AX460,=AV460+AW460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d7,,,460,,,116,,,52,C13F4,,7,sis de set,,,,sense puntuació,sense puntuació,assolit,110,"6,9",7150,1310,"1m 33,039s ","1m 54,001s ",gamma de set,gamma alta de set,,,,,,,,,,,,,https://ca.wikipedia.org/wiki/6_de_7,,,,2,0,0,0,=AU461+AV461,=AW461+AX461,=AV461+AW461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d7n,,♯,461,,,,,,,,,7,sis de set net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU462+AV462,=AW462+AX462,=AV462+AW462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d8f,,♭,462,,,,,,,,,8,sis de vuit amb folre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU463+AV463,=AW463+AX463,=AV463+AW463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d8,,,463,,,117,,,,,,8,sis de vuit,,,,sense puntuació,sense puntuació,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU464+AV464,=AW464+AX464,=AV464+AW464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d8n,,♯,464,,,,,,,,,8,sis de vuit net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU465+AV465,=AW465+AX465,=AV465+AW465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d9fmp,,"♭♭
♭",465,,,,,,,,,9,"sis de nou amb folre, manilles i puntals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU466+AV466,=AW466+AX466,=AV466+AW466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d9fm,,♭,466,,,,,,,,,9,sis de nou amb folre i manilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU467+AV467,=AW467+AX467,=AV467+AW467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d9f,,,467,,,,,,,,,9,sis de nou amb folre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU468+AV468,=AW468+AX468,=AV468+AW468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d9,,♯,468,,,,,,,,,9,sis de nou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU469+AV469,=AW469+AX469,=AV469+AW469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d9n,,♯♯,469,,,,,,,,,9,sis de nou net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU470+AV470,=AW470+AX470,=AV470+AW470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d10fmpa,,"♭♭
♭",470,,,,,,,,,10,"sis de deu amb folre, manilles, puntals i ajuts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU471+AV471,=AW471+AX471,=AV471+AW471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d10fmp,,♭,471,,,,,,,,,10,"sis de deu amb folre, manilles i puntals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU472+AV472,=AW472+AX472,=AV472+AW472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d10fm,,,472,,,,,,,,,10,sis de deu amb folre i manilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU473+AV473,=AW473+AX473,=AV473+AW473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d10f,,♯,473,,,,,,,,,10,sis de deu amb folre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU474+AV474,=AW474+AX474,=AV474+AW474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d10,,♯♯,474,,,,,,,,,10,sis de deu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU475+AV475,=AW475+AX475,=AV475+AW475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d10n,,♯♯♯,475,,,,,,,,,10,sis de deu net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU476+AV476,=AW476+AX476,=AV476+AW476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d11fmpal,,"♭♭
♭",476,,,,,,,,,11,"sis d’onze amb folre, manilles, puntals, ajuts i llargs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU477+AV477,=AW477+AX477,=AV477+AW477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d11fmpa,,♭,477,,,,,,,,,11,"sis d’onze amb folre, manilles, puntals i ajuts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU478+AV478,=AW478+AX478,=AV478+AW478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d11fmp,,,478,,,,,,,,,11,"sis d’onze amb folre, manilles i puntals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU479+AV479,=AW479+AX479,=AV479+AW479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d11fm,,♯,479,,,,,,,,,11,sis d’onze amb folre i manilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU480+AV480,=AW480+AX480,=AV480+AW480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d11f,,♯♯,480,,,,,,,,,11,sis d’onze amb folre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU481+AV481,=AW481+AX481,=AV481+AW481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d11,,♯♯♯,481,,,,,,,,,11,sis d’onze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU482+AV482,=AW482+AX482,=AV482+AW482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d12fmpals,,"♭♭
♭",482,,,,,,,,,12,"sis de dotze amb folre, manilles, puntals, ajuts, llargs i salts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU483+AV483,=AW483+AX483,=AV483+AW483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d12fmpal,,♭,483,,,,,,,,,12,"sis de dotze amb folre, manilles, puntals, ajuts i llargs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU484+AV484,=AW484+AX484,=AV484+AW484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d12fmpa,,,484,,,,,,,,,12,"sis de dotze amb folre, manilles, puntals i ajuts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU485+AV485,=AW485+AX485,=AV485+AW485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d12fmp,,♯,485,,,,,,,,,12,"sis de dotze amb folre, manilles i puntals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU486+AV486,=AW486+AX486,=AV486+AW486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d12fm,,♯♯,486,,,,,,,,,12,sis de dotze amb folre i manilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU487+AV487,=AW487+AX487,=AV487+AW487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d12f,,♯♯♯,487,,,,,,,,,12,sis de dotze amb folre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU488+AV488,=AW488+AX488,=AV488+AW488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d13fmpalsb,,"♭♭
♭",488,,,,,,,,,13,"sis de tretze amb folre, manilles, puntals, ajuts, llargs, salts i bigues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU489+AV489,=AW489+AX489,=AV489+AW489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d13fmpals,,♭,489,,,,,,,,,13,"sis de tretze amb folre, manilles, puntals, ajuts, llargs i salts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU490+AV490,=AW490+AX490,=AV490+AW490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d13fmpal,,,490,,,,,,,,,13,"sis de tretze amb folre, manilles, puntals, ajuts i llargs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU491+AV491,=AW491+AX491,=AV491+AW491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d13fmpa,,♯,491,,,,,,,,,13,"sis de tretze amb folre, manilles, puntals i ajuts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU492+AV492,=AW492+AX492,=AV492+AW492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d13fmp,,♯♯,492,,,,,,,,,13,"sis de tretze amb folre, manilles i puntals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU493+AV493,=AW493+AX493,=AV493+AW493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d13fm,,♯♯♯,493,,,,,,,,,13,sis de tretze amb folre i manilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU494+AV494,=AW494+AX494,=AV494+AW494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d14fmpalsbt,,"♭♭
♭",494,,,,,,,,,14,"sis de catorze amb folre, manilles, puntals, ajuts, llargs, salts, bigues i terrats",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU495+AV495,=AW495+AX495,=AV495+AW495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d14fmpalsb,,♭,495,,,,,,,,,14,"sis de catorze amb folre, manilles, puntals, ajuts, llargs, salts i bigues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU496+AV496,=AW496+AX496,=AV496+AW496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d14fmpals,,,496,,,,,,,,,14,"sis de catorze amb folre, manilles, puntals, ajuts, llargs i salts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU497+AV497,=AW497+AX497,=AV497+AW497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d14fmpal,,♯,497,,,,,,,,,14,"sis de catorze amb folre, manilles, puntals, ajuts i llargs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU498+AV498,=AW498+AX498,=AV498+AW498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d14fmpa,,♯♯,498,,,,,,,,,14,"sis de catorze amb folre, manilles, puntals i ajuts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU499+AV499,=AW499+AX499,=AV499+AW499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,bàsic,6d14fmp,,♯♯♯,499,,,,,,,,,14,"sis de catorze amb folre, manilles i puntals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU500+AV500,=AW500+AX500,=AV500+AW500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,amb l’agulla,6d5a,,,500,,,118,,,,,,5,sis de cinc amb l'agulla,,,,sense puntuació,sense puntuació,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU501+AV501,=AW501+AX501,=AV501+AW501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,amb l’agulla,6d5na,,♯,501,,,119,,,,,,5,sis de cinc net amb l'agulla,,,,sense puntuació,sense puntuació,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU502+AV502,=AW502+AX502,=AV502+AW502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el sis,amb l’agulla,6d6a,,,502,,,120,,,,,,6,sis de sis amb l'agulla,,,,sense puntuació,sense puntuació,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AU503+AV503,=AW503+AX503,=AV503+AW503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
